model,quant,arc_chat,arc_chat_stderr,bfcl_accuracy,bfcl_all,bfcl_all2,bfcl_exec_multiple_acc,bfcl_exec_multiple_sterr,bfcl_exec_parallel_acc,bfcl_exec_parallel_multiple_acc,bfcl_exec_parallel_multiple_sterr,bfcl_exec_parallel_sterr,bfcl_exec_simple_acc,bfcl_exec_simple_sterr,bfcl_irrelevance_acc,bfcl_irrelevance_sterr,bfcl_live_irrelevance_acc,bfcl_live_irrelevance_sterr,bfcl_live_multiple_acc,bfcl_live_multiple_sterr,bfcl_live_parallel_acc,bfcl_live_parallel_multiple_acc,bfcl_live_parallel_multiple_sterr,bfcl_live_parallel_sterr,bfcl_live_relevance_acc,bfcl_live_relevance_sterr,bfcl_live_simple_acc,bfcl_live_simple_sterr,bfcl_multi_turn_base_acc,bfcl_multi_turn_base_sterr,bfcl_multi_turn_composite_acc,bfcl_multi_turn_composite_sterr,bfcl_multi_turn_long_context_acc,bfcl_multi_turn_long_context_sterr,bfcl_multi_turn_miss_func_acc,bfcl_multi_turn_miss_func_sterr,bfcl_multi_turn_miss_param_acc,bfcl_multi_turn_miss_param_sterr,bfcl_multiple_acc,bfcl_multiple_sterr,bfcl_parallel_acc,bfcl_parallel_multiple_acc,bfcl_parallel_multiple_sterr,bfcl_parallel_sterr,bfcl_simple_java_acc,bfcl_simple_java_sterr,bfcl_simple_javascript_acc,bfcl_simple_javascript_sterr,bfcl_simple_python_acc,bfcl_simple_python_sterr,bfcl_sql_acc,bfcl_sql_sterr,bfcl_stderr,bfcl_total_samples,bigcodebench_mean,bigcodebench_std,bigcodebench_total_samples,eval_time_seconds,gsm8k_flexible,gsm8k_flexible_stderr,gsm8k_strict,gsm8k_strict_stderr,humaneval_pass@1,humaneval_pass@1_stderr,humaneval_plus_pass@1,humaneval_plus_pass@1_stderr,ifeval_inst_loose,ifeval_inst_loose_stderr,ifeval_inst_strict,ifeval_inst_strict_stderr,ifeval_prompt_loose,ifeval_prompt_loose_stderr,ifeval_prompt_strict,ifeval_prompt_strict_stderr,musr_accuracy,musr_stderr,musr_total_samples,total_samples
Qwen3.5-9B,Q4_0,,,0.651357,0.651357,0.015404,0.875,0.085391,0.777778,0.333333,0.210819,0.100832,0.904762,0.065638,0.708333,0.0663,0.634921,0.035114,0.742574,0.030839,0.75,1.0,0.0,0.25,0.666667,0.333333,0.673469,0.067686,0.466667,0.07521,0.043478,0.043478,0.451613,0.090859,0.0,0.0,0.486486,0.083303,0.948718,0.035782,0.75,0.755556,0.064788,0.083333,0.47619,0.111677,0.25,0.163663,0.985507,0.014493,0.125,0.085391,0.015404,1000,0.451754,0.497885,1140,1353.0,,,,,,,,,,,,,,,,,0.58,0.031278,250,250
Qwen3.5-9B,Q4_1,,,0.674203,0.674203,0.015033,0.8125,0.100778,0.833333,0.333333,0.210819,0.090388,0.904762,0.065638,0.854167,0.051481,0.772487,0.030575,0.722772,0.031573,0.75,0.6,0.244949,0.25,0.666667,0.333333,0.714286,0.065205,0.413043,0.0734,0.0,0.0,0.352941,0.083189,0.135135,0.056978,0.578947,0.081168,0.974359,0.025641,0.75,0.733333,0.066667,0.083333,0.47619,0.111677,0.125,0.125,0.985507,0.014493,0.125,0.085391,0.015033,1000,0.485965,0.500022,1140,1515.0,,,,,,,,,,,,,,,,,0.612,0.030881,250,250
Qwen3.5-9B,Q4_K_M,,,0.667692,0.667692,0.015093,0.875,0.085391,0.777778,0.333333,0.210819,0.100832,0.904762,0.065638,0.8125,0.056933,0.751323,0.031525,0.732673,0.031216,0.75,0.4,0.244949,0.25,0.666667,0.333333,0.77551,0.060224,0.413043,0.0734,0.0,0.0,0.382353,0.084595,0.081081,0.045493,0.473684,0.082086,0.948718,0.035782,0.785714,0.777778,0.062675,0.078967,0.47619,0.111677,0.125,0.125,0.985507,0.014493,0.125,0.085391,0.015093,1000,0.478947,0.499776,1140,1429.0,,,,,,,,,,,,,,,,,0.632,0.030562,250,250
Qwen3.5-9B,Q4_K_S,,,0.658787,0.658787,0.015207,0.8125,0.100778,0.777778,0.333333,0.210819,0.100832,0.904762,0.065638,0.8125,0.056933,0.756614,0.031297,0.712871,0.031911,0.75,0.6,0.244949,0.25,0.666667,0.333333,0.693878,0.066522,0.326087,0.069882,0.0,0.0,0.34375,0.085305,0.162162,0.061433,0.552632,0.081743,0.974359,0.025641,0.642857,0.777778,0.062675,0.092214,0.428571,0.110657,0.25,0.163663,0.985507,0.014493,0.125,0.085391,0.015207,1000,0.488596,0.500089,1140,1500.0,,,,,,,,,,,,,,,,,0.656,0.030105,250,250
Qwen3.5-9B,Q5_K_M,,,0.673913,0.673913,0.015091,0.875,0.085391,0.833333,0.166667,0.166667,0.090388,0.857143,0.078246,0.791667,0.059238,0.772487,0.030575,0.678218,0.032951,0.75,0.6,0.244949,0.25,0.666667,0.333333,0.714286,0.065205,0.434783,0.073899,0.0,0.0,0.424242,0.087368,0.081081,0.045493,0.631579,0.079302,1.0,0.0,0.785714,0.866667,0.051247,0.078967,0.428571,0.110657,0.25,0.163663,0.942029,0.028339,0.125,0.085391,0.015091,1000,0.480702,0.499847,1140,1426.0,,,,,,,,,,,,,,,,,0.608,0.030938,250,250
Qwen3.5-9B,Q5_K_S,,,0.657084,0.657084,0.015218,0.8125,0.100778,0.777778,0.166667,0.166667,0.100832,0.904762,0.065638,0.791667,0.059238,0.777778,0.030321,0.693069,0.032532,0.75,0.4,0.244949,0.25,0.666667,0.333333,0.693878,0.066522,0.326087,0.069882,0.0,0.0,0.485714,0.085714,0.054054,0.037687,0.5,0.082199,0.923077,0.043227,0.714286,0.822222,0.057638,0.08694,0.47619,0.111677,0.125,0.125,0.985507,0.014493,0.125,0.085391,0.015218,1000,0.483333,0.499941,1140,1282.0,,,,,,,,,,,,,,,,,0.628,0.03063,250,250
Qwen3.5-9B,Q6_K,,,0.669413,0.669413,0.015104,0.875,0.085391,0.777778,0.166667,0.166667,0.100832,0.857143,0.078246,0.75,0.063161,0.756614,0.031297,0.712871,0.031911,0.75,0.6,0.244949,0.25,0.666667,0.333333,0.714286,0.065205,0.5,0.074536,0.0,0.0,0.40625,0.08821,0.108108,0.051753,0.447368,0.081743,0.974359,0.025641,0.821429,0.866667,0.051247,0.073707,0.47619,0.111677,0.125,0.125,0.971014,0.020345,0.125,0.085391,0.015104,1000,0.482456,0.499911,1140,1568.0,,,,,,,,,,,,,,,,,0.6,0.031046,250,250
Qwen3.5-9B,Q8_0,,,0.664264,0.664264,0.015163,0.875,0.085391,0.777778,0.333333,0.210819,0.100832,0.904762,0.065638,0.770833,0.061307,0.761905,0.031063,0.69802,0.032384,0.75,0.8,0.2,0.25,0.666667,0.333333,0.734694,0.063724,0.347826,0.071,0.0,0.0,0.454545,0.088022,0.027027,0.027027,0.5,0.082199,0.923077,0.043227,0.857143,0.844444,0.054639,0.067344,0.47619,0.111677,0.25,0.163663,0.956522,0.02473,0.125,0.085391,0.015163,1000,0.494737,0.500192,1140,1549.0,,,,,,,,,,,,,,,,,0.628,0.03063,250,250
Qwen3.5-9B,UD-IQ2_M,,,0.62578,0.62578,0.01561,0.875,0.085391,0.888889,0.5,0.223607,0.076222,0.904762,0.065638,0.645833,0.069761,0.693122,0.033636,0.688119,0.032676,0.75,0.6,0.244949,0.25,0.333333,0.333333,0.734694,0.063724,0.222222,0.062675,0.033333,0.033333,0.322581,0.085347,0.057143,0.039807,0.294118,0.079318,0.948718,0.035782,0.821429,0.755556,0.064788,0.073707,0.47619,0.111677,0.25,0.163663,0.956522,0.02473,0.0625,0.0625,0.01561,1000,0.314035,0.464334,1140,2187.0,,,,,,,,,,,,,,,,,0.568,0.031392,250,250
Qwen3.5-9B,UD-IQ2_XXS,,,0.504918,0.504918,0.016538,0.625,0.125,0.166667,0.166667,0.166667,0.090388,0.619048,0.108588,0.729167,0.064821,0.814815,0.02833,0.460396,0.035156,0.25,0.2,0.2,0.25,0.666667,0.333333,0.469388,0.072033,0.315789,0.076418,0.0,0.0,0.259259,0.085944,0.0,0.0,0.222222,0.081533,0.717949,0.072999,0.25,0.088889,0.042903,0.083333,0.142857,0.078246,0.375,0.182981,0.811594,0.04742,0.0,0.0,0.016538,1000,0.071053,0.257025,1140,1783.0,,,,,,,,,,,,,,,,,0.552,0.031514,250,250
Qwen3.5-9B,UD-IQ3_XXS,,,0.632338,0.632338,0.015482,0.875,0.085391,0.555556,0.166667,0.166667,0.120517,0.904762,0.065638,0.833333,0.054361,0.798942,0.029231,0.722772,0.031573,0.75,0.6,0.244949,0.25,0.333333,0.333333,0.734694,0.063724,0.282609,0.067122,0.0,0.0,0.205882,0.070387,0.027778,0.027778,0.342105,0.077993,0.948718,0.035782,0.535714,0.622222,0.073091,0.095979,0.428571,0.110657,0.125,0.125,0.927536,0.031439,0.125,0.085391,0.015482,1000,0.389474,0.487845,1140,1356.0,,,,,,,,,,,,,,,,,0.592,0.031145,250,250
Qwen3.5-9B,UD-Q2_K_XL,,,0.618048,0.618048,0.015747,0.8125,0.100778,0.555556,0.166667,0.166667,0.120517,0.857143,0.078246,0.708333,0.0663,0.613757,0.03551,0.707921,0.032073,0.75,0.6,0.244949,0.25,0.666667,0.333333,0.755102,0.062069,0.522727,0.07617,0.043478,0.043478,0.354839,0.087355,0.121212,0.057695,0.371429,0.082866,0.923077,0.043227,0.607143,0.555556,0.074911,0.09399,0.47619,0.111677,0.25,0.163663,0.942029,0.028339,0.125,0.085391,0.015747,1000,0.296491,0.456911,1140,1427.0,,,,,,,,,,,,,,,,,0.604,0.030993,250,250
Qwen3.5-9B,UD-Q3_K_XL,,,0.670795,0.670795,0.015104,0.875,0.085391,0.722222,0.333333,0.210819,0.108632,0.904762,0.065638,0.833333,0.054361,0.756614,0.031297,0.737624,0.03103,0.75,0.8,0.2,0.25,0.666667,0.333333,0.714286,0.065205,0.4,0.073855,0.0,0.0,0.411765,0.085673,0.027778,0.027778,0.421053,0.081168,0.974359,0.025641,0.75,0.8,0.060302,0.083333,0.47619,0.111677,0.25,0.163663,0.985507,0.014493,0.125,0.085391,0.015104,1000,0.470175,0.499329,1140,1519.0,,,,,,,,,,,,,,,,,0.62,0.03076,250,250
Qwen3.5-9B,UD-Q4_K_XL,,,0.662204,0.662204,0.015186,0.8125,0.100778,0.722222,0.166667,0.166667,0.108632,0.904762,0.065638,0.833333,0.054361,0.772487,0.030575,0.707921,0.032073,0.75,0.6,0.244949,0.25,0.333333,0.333333,0.673469,0.067686,0.391304,0.072753,0.0,0.0,0.424242,0.087368,0.027027,0.027027,0.526316,0.082086,0.948718,0.035782,0.75,0.8,0.060302,0.083333,0.428571,0.110657,0.25,0.163663,0.985507,0.014493,0.125,0.085391,0.015186,1000,0.495614,0.5002,1140,1466.0,,,,,,,,,,,,,,,,,0.632,0.030562,250,250
Qwen3.5-9B,UD-Q5_K_XL,,,0.656057,0.656057,0.015229,0.875,0.085391,0.777778,0.333333,0.210819,0.100832,0.904762,0.065638,0.770833,0.061307,0.751323,0.031525,0.717822,0.031745,0.75,0.8,0.2,0.25,0.666667,0.333333,0.653061,0.068704,0.369565,0.071955,0.0,0.0,0.323529,0.081437,0.081081,0.045493,0.526316,0.082086,0.974359,0.025641,0.678571,0.844444,0.054639,0.089879,0.47619,0.111677,0.125,0.125,0.956522,0.02473,0.125,0.085391,0.015229,1000,0.476316,0.499658,1140,1481.0,,,,,,,,,,,,,,,,,0.584,0.031236,250,250
Qwen3.5-9B,UD-Q6_K_XL,,,0.670092,0.670092,0.015081,0.875,0.085391,0.777778,0.166667,0.166667,0.100832,0.857143,0.078246,0.75,0.063161,0.772487,0.030575,0.717822,0.031745,0.75,0.8,0.2,0.25,0.666667,0.333333,0.673469,0.067686,0.478261,0.074465,0.0,0.0,0.484848,0.088348,0.054054,0.037687,0.5,0.082199,0.948718,0.035782,0.785714,0.866667,0.051247,0.078967,0.47619,0.111677,0.125,0.125,0.956522,0.02473,0.125,0.085391,0.015081,1000,0.484211,0.49997,1140,1560.0,,,,,,,,,,,,,,,,,0.632,0.030562,250,250
Qwen3.5-9B,UD-Q8_K_XL,,,0.684156,0.684156,0.014918,0.875,0.085391,0.777778,0.166667,0.166667,0.100832,0.904762,0.065638,0.791667,0.059238,0.78836,0.029791,0.707921,0.032073,0.75,0.8,0.2,0.25,0.666667,0.333333,0.755102,0.062069,0.543478,0.074253,0.0,0.0,0.441176,0.086434,0.054054,0.037687,0.5,0.082199,0.948718,0.035782,0.821429,0.844444,0.054639,0.073707,0.47619,0.111677,0.25,0.163663,0.985507,0.014493,0.125,0.085391,0.014918,1000,0.480702,0.499847,1140,1626.0,,,,,,,,,,,,,,,,,0.604,0.030993,250,250
Qwen3.6-27B,IQ4_NL,0.970137,0.004974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.804878,0.03104,0.762195,0.033346,0.923261,,0.896882,,0.883549,0.013804,0.84658,0.015509,,,,
Qwen3.6-27B,IQ4_XS,0.969283,0.005042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79878,0.031402,0.756098,0.033636,0.925659,,0.906475,,0.887246,0.013611,0.861368,0.014871,,,,
Qwen3.6-27B,Q3_K_M,0.97099,0.004905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.792683,0.031752,0.731707,0.034704,0.926859,,0.901679,,0.890943,0.013414,0.855823,0.015116,,,,
Qwen3.6-27B,Q3_K_S,0.970137,0.004974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.817073,0.030281,0.72561,0.03495,0.922062,,0.890887,,0.885397,0.013708,0.842884,0.01566,,,,
Qwen3.6-27B,Q4_0,0.97099,0.004905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.829268,0.029472,0.786585,0.032092,0.928058,,0.902878,,0.890943,0.013414,0.857671,0.015035,,,,
Qwen3.6-27B,Q4_1,0.971843,0.004834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.817073,0.030281,0.768293,0.033048,0.922062,,0.898082,,0.881701,0.013898,0.848429,0.015432,,,,
Qwen3.6-27B,Q4_K_M,0.971843,0.004834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.823171,0.029883,0.768293,0.033048,0.928058,,0.899281,,0.890943,0.013414,0.850277,0.015354,,,,
Qwen3.6-27B,Q4_K_S,0.97099,0.004905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.847561,0.028154,0.768293,0.033048,0.929257,,0.906475,,0.892791,0.013314,0.861368,0.014871,,,,
Qwen3.6-27B,Q5_K_M,0.97099,0.004905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.841463,0.028608,0.77439,0.032739,0.914868,,0.893285,,0.872458,0.014355,0.842884,0.01566,,,,
Qwen3.6-27B,Q5_K_S,0.970137,0.004974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.841463,0.028608,0.786585,0.032092,0.920863,,0.896882,,0.878004,0.014084,0.844732,0.015585,,,,
Qwen3.6-27B,Q6_K,0.97099,0.004905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.835366,0.029047,0.786585,0.032092,0.923261,,0.898082,,0.887246,0.013611,0.852126,0.015276,,,,
Qwen3.6-27B,UD-IQ2_M,0.965017,0.005369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.713415,0.035416,0.670732,0.036809,0.91247,,0.894484,,0.87061,0.014443,0.84658,0.015509,,,,
Qwen3.6-27B,UD-IQ2_XXS,0.960751,0.005675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.597561,0.03841,0.530488,0.03909,0.899281,,0.877698,,0.857671,0.015035,0.826248,0.016305,,,,
